"","ts1.Open","ts1.High","ts1.Low","ts1.Close"
"1",2790.5,2791,2787.75,2788.5
"2",2788.5,2789.75,2788.25,2789.75
"3",2789.75,2790.5,2789,2789.75
"4",2789.75,2790.5,2788.25,2789.5
"5",2789.5,2792.25,2788,2790.25
"6",2790.5,2792,2789.75,2791.25
"7",2791.25,2792.5,2790.75,2791.75
"8",2791.75,2791.75,2790,2790.75
"9",2790.75,2791.5,2789.25,2790.25
"10",2790.25,2791.75,2788.75,2788.75
"11",2788.75,2790,2788.25,2789
"12",2789,2789.25,2785.25,2786
"13",2786.25,2787.5,2785.5,2786
"14",2786,2788,2786,2787
"15",2787.25,2788.75,2787,2788.75
"16",2788.75,2790,2788.25,2789.25
"17",2789.25,2793,2789,2790
"18",2789.75,2790.25,2788.75,2790
"19",2790,2790.5,2788.5,2789.75
"20",2789.75,2792.5,2789.25,2791.5
"21",2791.5,2791.5,2790.75,2790.75
"22",2790.5,2790.75,2790,2790.75
"23",2790.75,2791,2789.75,2790.5
"24",2790.5,2791,2790,2790.25
"25",2790,2790.5,2789.25,2789.5
"26",2789.5,2790.75,2789.5,2790.5
"27",2790.5,2791.5,2790,2791.25
"28",2791.25,2791.25,2790,2790.75
"29",2790.75,2792.25,2790.25,2792.25
"30",2792.25,2793.75,2791.75,2793.75
"31",2793.5,2793.75,2792,2792.25
"32",2792.25,2793,2792,2792.75
"33",2792.5,2794.75,2792.5,2794
"34",2794,2794,2793,2793
"35",2793,2793,2791.5,2792.5
"36",2792.25,2792.75,2791.75,2792.25
"37",2792,2794.25,2792,2793.5
"38",2793.5,2794.75,2793.5,2794.25
"39",2794,2796.25,2793.75,2796
"40",2796,2798.5,2795.75,2798.25
"41",2798.25,2798.25,2796.5,2797.5
"42",2797.5,2798,2796.5,2798
"43",2798,2799,2797,2797.25
"44",2797.25,2798.5,2796.5,2796.75
"45",2797,2798.25,2796.75,2797.25
"46",2797.25,2797.25,2794.75,2795.75
"47",2795.75,2796.75,2795.25,2796.25
"48",2796.25,2796.25,2794.5,2795.75
"49",2795.75,2796.25,2794.25,2794.5
"50",2794.25,2795.5,2793.75,2795.25
"51",2795.25,2795.75,2794.5,2795.25
"52",2795.5,2795.75,2794.5,2795.75
"53",2795.75,2796.5,2793.5,2793.5
"54",2793.75,2794,2792,2792.75
"55",2793,2794,2793,2793.25
"56",2793.25,2793.75,2790.75,2792.25
"57",2792,2793.25,2791.5,2792.75
"58",2792.75,2795.25,2792.5,2794.25
"59",2794.25,2795.75,2794.25,2795.5
"60",2795.5,2796.5,2794.5,2794.5
"61",2794.75,2795.25,2792,2795
"62",2794.75,2794.75,2793.5,2794
"63",2794,2795.25,2789.5,2790.25
"64",2790,2791.75,2783.25,2784.5
"65",2784.75,2793.5,2784.5,2790
"66",2789.75,2790.5,2785,2789.25
"67",2789.5,2791.75,2784.5,2789.75
"68",2789.5,2790.75,2785.25,2788
"69",2788.25,2791,2786,2791
"70",2791,2793.5,2790.5,2792.25
"71",2792.25,2796,2791.25,2795.5
"72",2795.25,2796,2790.25,2791
"73",2791,2793,2790.25,2792
"74",2792,2793.25,2789.75,2791.5
"75",2791.25,2792,2789.75,2790.25
"76",2790.5,2791.75,2790,2791.5
"77",2791.5,2794,2791.25,2793.5
"78",2793.5,2795.25,2791.25,2791.25
"79",2791.25,2792,2788.5,2790
"80",2790,2791,2787.75,2790.5
"81",2790.5,2793,2789.75,2791.75
"82",2791.75,2793.75,2791.5,2792.75
"83",2792.75,2794.5,2791.75,2792.75
"84",2793,2795.25,2792.75,2795.25
"85",2795,2796,2792.75,2793
"86",2793,2794.75,2791.75,2793.5
"87",2793.5,2793.75,2791.75,2793.25
"88",2793,2796.75,2793,2795
"89",2794.75,2794.75,2789,2790.25
"90",2790,2792,2790,2791.5
"91",2791.25,2791.25,2790.5,2791
"92",2791.25,2791.5,2790.25,2790.25
"93",2790.5,2790.5,2788.25,2788.75
"94",2786.5,2787,2784.5,2786.5
"95",2786.75,2787.75,2786.25,2787.5
"96",2787.5,2788.5,2787,2787.25
"97",2787.5,2787.75,2785.75,2786.75
"98",2786.75,2787,2784.5,2785.25
"99",2785,2786.5,2784.75,2786.5
"100",2786.25,2786.5,2784,2784.75
"101",2784.75,2785.75,2784.25,2785
"102",2785,2786,2784.5,2785
"103",2785,2785,2783.75,2784.25
"104",2784.25,2785.5,2782.25,2785.25
"105",2785,2787,2784.5,2785.75
"106",2786,2786,2784.25,2784.5
"107",2784.25,2785.75,2784.25,2785.5
"108",2785.25,2788,2785,2787.75
"109",2787.75,2787.75,2784.25,2784.5
"110",2784.5,2785,2783.75,2785
"111",2785,2785.5,2784.75,2785.25
"112",2785.25,2785.75,2784.75,2784.75
"113",2784.75,2785,2783.25,2783.5
"114",2783.5,2783.5,2781.5,2782.5
"115",2782.5,2783.25,2782.25,2782.75
"116",2782.5,2783.5,2782.5,2783.5
"117",2783.5,2783.75,2783,2783.25
"118",2783.25,2784.5,2783.25,2784
"119",2783.75,2785.25,2783.5,2785
"120",2785,2785.75,2784.75,2785.75
"121",2785.75,2785.75,2785,2785.25
"122",2785,2785,2783.5,2783.5
"123",2783.5,2784.25,2783,2784
"124",2784,2785,2783.25,2785
"125",2785.25,2787,2785,2786.75
"126",2786.5,2787,2785.25,2785.5
"127",2785.5,2786.5,2785.25,2785.5
"128",2785.25,2786,2784.75,2786
"129",2786,2787,2786,2786
"130",2786.25,2788.25,2785.25,2787.5
"131",2787.5,2789,2786.5,2786.5
"132",2786.75,2787,2785.5,2787
"133",2786.75,2787.5,2786,2786.5
"134",2786.5,2786.5,2785.25,2786
"135",2786,2788,2785.5,2787.5
"136",2787.75,2788.25,2787,2788
"137",2788,2788,2786.5,2787
"138",2786.75,2787,2785.5,2786.25
"139",2786.25,2786.75,2785.75,2786.75
"140",2786.75,2787.5,2786.5,2787
"141",2787,2787.5,2786.5,2787
"142",2787,2788,2786.75,2787.75
"143",2788,2788.75,2787.75,2788.5
"144",2788.5,2788.75,2787.25,2787.5
"145",2787.75,2788,2787.25,2787.5
"146",2787.25,2788.75,2787.25,2787.5
"147",2787.5,2787.75,2786.25,2786.75
"148",2786.5,2786.75,2786,2786.5
"149",2786.75,2787,2785.25,2785.5
"150",2785.25,2786,2784.75,2785.25
"151",2785.25,2786.5,2785.25,2786.25
"152",2786.25,2789.5,2784.25,2788
"153",2788,2790,2787.75,2788.5
"154",2788.25,2791,2787.5,2790
"155",2790,2792.75,2790,2790.75
"156",2791,2791.5,2786.75,2788
"157",2788,2788.25,2781.25,2782.75
"158",2783,2786.5,2782,2786.25
"159",2786.25,2786.5,2780.25,2780.5
"160",2780.5,2781.75,2775.5,2777.75
"161",2777.75,2780,2776,2779.75
"162",2779.75,2783.75,2779.25,2783.25
"163",2783.25,2784.25,2779.25,2779.25
"164",2779.25,2780.75,2777.75,2778.25
"165",2778,2779,2772.25,2774
"166",2774,2780.25,2773,2779.5
"167",2779.25,2779.5,2773.25,2773.25
"168",2773.5,2777,2772,2775.25
"169",2775,2776,2771.25,2771.5
"170",2771.5,2772.5,2769.5,2770
"171",2770,2773.25,2769.5,2770.25
"172",2770,2776.25,2769.5,2776
"173",2776,2776.5,2771.75,2774.75
"174",2774.5,2778.25,2774.5,2776
"175",2776,2778.75,2775.75,2778
"176",2778,2778.5,2773.25,2774.75
"177",2774.75,2776,2773,2775
"178",2775.25,2777,2772.5,2773.25
"179",2773.25,2773.75,2769.25,2771
"180",2771,2774.5,2768.5,2773.75
"181",2773.75,2776,2772,2773
"182",2773,2774.5,2771.5,2772
"183",2772.25,2773,2770.75,2771.25
"184",2770.75,2771.5,2770,2770.75
"185",2770.5,2772,2770,2772
"186",2772,2772,2770.75,2771
"187",2770.5,2771.5,2769.5,2770.5
"188",2770.5,2770.75,2769.5,2770.25
